"","Ak_0","Ak_1530","Ak_630","Bj_0","Bj_100","Bj_280","Bj_38","Bv_0","Bv_1110","Bv_150","Bv_430","CRE_AZE","CRE_REF","DUN_AZE_1","DUN_AZE_2","DUN_AZE_3","DUN_CE_1","DUN_CE_2","DUN_CE_3","DUN_Fr_AZE_RepA","DUN_Fr_AZE_RepB","DUN_Fr_CE_RepA","DUN_Fr_CE_RepB","DUN_Fr_REF_RepA","DUN_Fr_REF_RepB","DUN_REF_1","DUN_REF_2","DUN_REF_3","DUN19_Feb_CE","DUN19_Feb_REF","DUN19_Mar_CE","DUN19_Mar_REF","HJ_0","HJ_243","HJ_304","HJ_488","HJ_50","HJ_588","KA_0","KA_179","KA_290","KA_428","KA_504","KIN_27","LIS_Fr_AZE_RepA","LIS_Fr_AZE_RepB","LIS_Fr_CE_RepA","LIS_Fr_CE_RepB","LIS_Fr_REF_RepA","LIS_Fr_REF_RepB","MAN_0","MAN_25S","MAN_50N","MAN_50S","MAN_75S","Nk_0","Nk_1330","Nk_140","Nk_34","Nk_640","St_0","St_300","St_610","St_68","St_900"
"Acetobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
"Acidimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,36,58,24,48,29,33,9,16,0,4,0,9,0,0,48,39,38,0,14,0,3,0,0,0,0,0,0,0,0,7,12,4,0,16,0,0,0,0,0,0,8,5,14,8,0,0,0,0,5,0,0,0,0,0
"Acidobacteriaceae",64,46,85,0,29,10,0,56,30,61,32,42,55,17,47,65,27,33,34,70,85,38,28,43,58,48,49,42,54,72,2,70,0,1,0,1,2,0,0,0,5,19,0,0,101,41,33,12,131,46,5,136,76,97,115,0,56,65,3,33,6,68,40,66,80
"Alteromonadaceae",16,2,0,0,7,1,14,4,7,7,4,11,0,1,5,3,1,0,2,8,4,7,15,2,3,0,1,2,22,5,21,3,0,0,0,0,8,5,0,0,2,6,2,3,4,8,3,9,2,3,0,0,3,0,1,33,1,3,30,0,4,1,0,7,15
"Anaerolineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,17,16,0,12,11,11,0,0,38,44,15,26,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,30,13,9,68,46,0,1,0,0,3,0,0,0,0,9,0,21,0,15,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,19,32,18,9,8,11,14,17,0,6,0,0,5,0,35,36,30,0,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Burkholderiaceae",0,0,0,0,15,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,9,0,0,0
"Chromatiaceae",26,0,0,4,8,0,65,8,0,15,0,3,0,14,3,13,4,2,4,9,11,17,16,2,0,0,0,0,32,0,24,0,2,28,8,0,0,12,1,0,7,3,0,502,4,8,2,8,13,16,34,2,20,2,8,19,0,0,18,0,54,0,6,0,56
"Clostridiaceae",0,0,0,0,0,0,0,17,0,0,0,10,10,4,7,2,3,5,3,0,0,0,0,3,0,18,6,11,0,1,0,5,61,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Colwelliaceae",21,4,8,0,0,6,0,0,0,5,0,92,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,3,18,0,3,0,4,0,4,0,5,0
"Cytophagaceae",43,7,6,5,31,1,4,0,0,9,21,40,25,3,18,2,5,3,4,5,4,7,15,0,0,0,0,0,16,0,6,0,60,31,39,16,35,55,15,43,24,4,1,22,6,0,3,0,0,0,0,3,14,14,16,50,0,20,16,0,47,16,192,37,74
"Dehalococcoidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Desulfobacteraceae",5,17,30,1,13,26,15,31,181,7,71,6,1,31,3,10,22,20,20,35,17,6,30,21,33,16,11,18,54,16,79,8,12,7,5,50,11,29,0,1,27,19,68,0,43,60,12,44,46,45,8,32,7,17,40,5,24,11,22,48,20,8,36,35,21
"Desulfobulbaceae",67,11,24,51,68,3,61,71,31,46,10,31,23,60,31,69,66,55,78,89,73,48,79,18,3,22,21,21,29,9,7,12,59,31,50,59,56,60,5,22,70,24,36,2,28,18,65,50,37,10,45,62,65,48,47,52,0,20,45,3,44,6,36,16,70
"Desulfuromonadaceae",0,0,0,0,0,41,0,0,9,0,7,2,5,16,1,0,6,0,9,18,22,0,0,64,21,15,10,16,0,14,0,9,0,0,0,10,10,0,0,0,11,14,3,0,23,40,0,0,25,16,0,2,3,0,0,0,1,1,0,8,0,3,1,14,1
"Ectothiorhodospiraceae",10,146,83,0,1,44,5,1,172,18,225,1,1,6,7,18,6,1,5,15,8,11,5,44,51,11,12,12,5,134,4,23,0,1,0,140,72,7,0,0,139,152,134,19,37,49,9,11,19,67,0,59,47,34,29,0,98,31,4,54,1,82,0,110,3
"Enterobacteriaceae",5,11,339,0,0,0,0,25,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,49,0,0,141,0,21,4
"Flavobacteriaceae",96,10,52,177,71,40,242,62,13,98,32,116,49,74,69,87,74,159,117,55,59,20,52,32,38,57,44,41,203,53,603,47,163,355,99,17,37,152,169,78,53,56,16,426,5,4,18,16,0,19,200,53,139,116,125,58,14,22,65,13,277,14,82,31,124
"Fusobacteriaceae",1,0,0,0,0,0,0,0,0,0,0,1,5,13,3,7,13,0,0,0,3,0,0,8,0,14,9,15,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,5,5,10,2,0,3,0,0,1,0,0,0,0,5,0,0,2,0,0,1,0,0
"Geminocystaceae",33,9,6,0,0,0,0,15,0,14,2,6,11,11,14,15,9,9,7,0,0,0,3,0,0,13,4,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,2,0,0,0,15,0,8,0
"Gordoniaceae",0,0,0,0,0,0,0,0,0,0,0,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halieaceae",33,13,23,2,25,16,94,19,2,42,35,0,3,7,1,6,3,1,3,11,6,59,27,4,3,3,2,9,17,3,20,7,0,5,3,5,5,17,0,1,11,13,6,0,10,8,4,7,8,5,0,0,12,14,15,52,6,17,41,2,27,17,3,19,43
"Haloplasmataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,3,5,0,0,0,0,0,0,20,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacteraceae",1,0,8,19,6,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,1,0,2,5,10,127,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0
"Holophagaceae",2,0,4,0,0,0,0,0,0,0,0,4,2,10,0,0,4,0,0,14,17,0,0,0,9,2,6,4,2,8,0,1,0,0,0,5,2,0,0,0,6,3,3,0,13,2,0,0,12,7,0,0,2,1,0,0,0,3,0,0,0,3,0,3,0
"Hyphomicrobiaceae",4,59,66,0,0,0,0,0,6,0,17,5,24,3,18,14,0,12,10,0,6,0,0,0,14,40,21,24,0,0,0,6,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,8,7,0,7,6,6,8,0,3,22,6,3,0,36,0,37,0
"Ignavibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,12,4,1,4,12,5,5,7,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae",0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0
"Marinilabiliaceae",19,0,0,5,0,2,21,18,0,23,0,29,2,6,5,5,21,6,11,10,11,45,45,8,0,0,0,0,18,0,136,2,2,0,0,1,0,2,10,0,5,1,0,0,0,0,25,47,0,0,2,0,10,0,1,0,0,0,2,0,12,0,13,5,37
"Methylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,7,5,14,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,13,3,18,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2
"Moraxellaceae",0,0,0,0,0,25,0,0,21,0,0,0,4,11,8,9,2,0,2,7,4,0,0,20,6,8,14,5,0,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,16,0,0,0,0,0,0,18,0,0,25,0,2,0,2,0
"Nannocystineae",3,0,7,0,0,0,0,30,0,11,0,0,0,17,18,17,10,12,7,8,13,13,14,0,0,0,0,0,11,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,3,5,2,2,0,0,0,0,16,0,27,0,6,0,25
"Nitrosomonadaceae",2,26,55,0,0,0,0,0,6,0,18,4,15,13,30,23,6,6,9,3,0,0,0,31,29,36,22,19,2,51,0,19,0,0,0,8,5,1,0,0,8,8,11,0,4,17,0,0,0,32,0,2,1,4,7,0,16,12,0,14,0,29,0,21,0
"Nitrospinaceae",0,0,0,0,0,0,0,0,0,0,0,18,15,13,9,11,9,0,0,20,28,9,3,29,5,0,6,2,0,8,0,28,0,0,0,0,0,0,0,0,1,3,0,0,16,19,0,0,9,1,0,3,0,0,0,0,0,14,0,5,0,0,0,0,0
"Oceanospirillaceae",6,0,0,1,0,0,0,0,0,0,0,40,0,0,5,0,6,0,1,0,1,54,21,0,0,0,0,0,11,0,0,0,0,8,1,0,1,0,0,12,0,0,0,0,0,8,22,16,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"Pirellulaceae",0,1,0,0,5,0,0,0,0,0,0,9,14,5,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,6,7,0,0,0,0,0,0,9,0,5,0
"Piscirickettsiaceae",3,0,0,0,3,0,16,0,0,2,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,4,1,9,0,0,14,0,8,0,0,1,3
"Planctomycetaceae",3,4,3,0,15,6,0,0,0,0,0,30,29,37,10,0,27,9,16,9,12,0,0,9,10,30,31,41,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,23,44,32,12,0,4,9,0,0,7,3,9,0
"Pseudomonadaceae",8,53,60,0,5,14,4,1,44,1,97,0,5,6,11,15,9,21,13,29,35,40,33,51,42,4,10,9,95,62,19,27,0,0,0,24,16,2,0,0,28,49,45,3,20,25,13,28,7,43,4,25,9,22,20,9,41,20,21,8,1,30,0,57,5
"Psychromonadaceae",197,9,4,27,7,0,69,140,11,534,12,50,12,2,1,7,0,0,0,75,13,255,132,23,11,8,0,5,21,6,79,5,0,0,0,0,0,0,2,11,2,8,0,1,0,5,0,10,14,8,0,1,2,0,1,302,0,3,31,0,5,4,1,11,20
"Rhodobacteraceae",29,10,12,7,20,8,2,0,15,1,26,26,34,2,17,21,4,16,5,5,11,1,0,5,14,11,5,10,4,14,0,4,0,11,9,10,7,24,0,0,14,32,7,9,2,7,0,1,6,10,10,5,39,34,52,3,1,5,16,1,3,10,3,10,2
"Rhodobiaceae",0,0,0,0,0,0,0,0,0,0,5,14,7,7,6,12,1,4,13,0,0,0,0,0,24,10,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,24,0,1,0,6,10,0,0,0,0,0,0,7,0,0,0
"Rhodospirillaceae",0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,15,0,4,0,0,0
"Roseobacteraceae",4,11,10,0,0,0,0,0,0,2,0,0,3,5,9,6,4,3,7,2,2,0,0,0,1,2,1,1,0,0,15,0,3,11,3,0,5,8,0,0,5,8,3,0,11,8,0,0,4,0,6,15,52,44,52,0,0,5,0,0,17,4,0,5,0
"Rubritaleaceae",0,0,0,0,0,1,0,0,0,0,0,25,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,0,0,2,3,17,13,0,2,1,0,0,0,0,0,5,0
"Shewanellaceae",0,0,3,0,0,0,0,0,0,6,0,8,0,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,5,9,0,8,0,3,1
"Sorangiineae",0,0,0,0,12,6,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,11,0,3,0,0,20,2,13,0,0,4,0,0,9,0,0,13,4,3,0,0,0,2,2,0,2,7,2,0,0
"Sphingobacteriaceae",7,0,6,0,2,6,6,0,0,0,0,8,0,1,2,1,5,22,20,4,0,122,116,0,0,0,0,0,2,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,113,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,1,0
"Spirochaetaceae",26,0,12,14,0,0,4,77,0,4,1,7,4,0,0,4,2,0,1,7,2,18,14,0,0,0,13,4,0,1,2,0,65,0,4,0,3,4,1,20,0,0,0,0,6,0,5,10,11,0,0,0,5,0,0,0,0,1,2,0,13,0,22,2,7
"Spongiibacteraceae",2,2,0,0,4,22,9,0,1,0,0,0,0,0,0,0,1,2,0,5,3,10,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,9,55,20,32,7,15,2,3,0,3,0
"Sulfurovaceae",2,0,1,264,2,0,6,5,0,0,4,2,0,3,6,4,27,35,18,12,21,63,49,0,2,1,0,0,39,0,0,0,257,225,472,0,3,152,252,540,1,0,0,58,0,0,34,16,1,0,118,0,15,4,0,5,0,0,3,0,7,0,7,0,1
"Thioprofundaceae",7,0,6,0,6,0,3,0,0,2,6,0,1,4,4,2,7,4,4,10,6,5,3,0,0,0,1,2,9,0,0,1,0,1,0,5,3,1,0,0,1,2,0,1,4,2,3,1,0,1,4,6,5,3,8,3,0,2,9,0,0,0,1,2,3
"Thiotrichaceae",10,0,0,59,0,0,11,33,0,5,0,3,1,0,0,0,2,0,0,4,5,97,30,0,0,0,0,0,0,0,0,0,10,1,10,0,0,22,9,52,0,0,0,7,4,0,0,7,0,0,0,0,1,4,9,2,0,0,6,0,5,0,0,0,0
"Verrucomicrobiaceae",4,0,0,1,7,37,0,1,0,17,0,42,68,6,19,20,5,9,2,4,0,0,1,9,4,14,12,7,4,5,3,0,0,0,0,0,1,0,0,0,28,4,11,39,0,6,0,1,0,0,39,5,8,17,49,31,38,25,10,36,1,3,2,0,2
"Vibrionaceae",0,0,0,0,0,3,0,32,0,0,0,7,2,0,2,0,0,0,0,14,0,10,8,0,0,8,9,6,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,12,0,0,0
